2015-04-18 02:53:06,219 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
2015-04-18 02:53:06,219 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-04-18 02:53:06,235 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 1ms)
2015-04-18 02:53:06,235 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-04-18 02:53:06,235 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 0ms)
2015-04-18 02:53:06,235 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-04-18 02:53:06,250 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 2ms)
2015-04-18 02:53:06,266 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-04-18 02:53:06,266 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
2015-04-18 02:53:06,282 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-04-18 02:53:06,282 [197] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-04-18 02:53:06,820 [197] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 198] Initializing Examine and binding to business logic events
2015-04-18 02:53:06,898 [197] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 198] Adding examine event handlers for index providers: 3
2015-04-18 02:53:07,195 [197] INFO  Umbraco.Web.UmbracoModule - [Thread 227] Setting OriginalRequestUrl: localhost:27664/umbraco
2015-04-18 02:53:40,150 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Determining hash of code files on disk
2015-04-18 02:53:40,150 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Hash determined (took 2ms)
2015-04-18 02:53:40,150 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of umbraco.interfaces.IApplicationStartupHandler
2015-04-18 02:53:40,150 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of umbraco.interfaces.IApplicationStartupHandler, found 37 (took 5ms)
2015-04-18 02:53:40,197 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter
2015-04-18 02:53:40,213 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyEditorValueConverter, found 0 (took 0ms)
2015-04-18 02:53:40,213 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of Umbraco.Core.PropertyEditors.IPropertyValueConverter
2015-04-18 02:53:40,213 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of Umbraco.Core.PropertyEditors.IPropertyValueConverter, found 16 (took 0ms)
2015-04-18 02:53:40,213 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of Umbraco.Web.Mvc.SurfaceController
2015-04-18 02:53:40,213 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of Umbraco.Web.Mvc.SurfaceController, found 4 (took 0ms)
2015-04-18 02:53:40,213 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of Umbraco.Web.WebApi.UmbracoApiController
2015-04-18 02:53:40,213 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of Umbraco.Web.WebApi.UmbracoApiController, found 35 (took 2ms)
2015-04-18 02:53:40,244 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of Umbraco.Core.Media.IThumbnailProvider
2015-04-18 02:53:40,244 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of Umbraco.Core.Media.IThumbnailProvider, found 3 (took 0ms)
2015-04-18 02:53:40,244 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Starting resolution types of Umbraco.Core.Media.IImageUrlProvider
2015-04-18 02:53:40,244 [204] INFO  Umbraco.Core.PluginManager - [Thread 198] Completed resolution of types of Umbraco.Core.Media.IImageUrlProvider, found 1 (took 0ms)
2015-04-18 02:53:40,666 [204] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 198] Initializing Examine and binding to business logic events
2015-04-18 02:53:40,744 [204] INFO  Umbraco.Web.Search.ExamineEvents - [Thread 198] Adding examine event handlers for index providers: 3
2015-04-18 02:53:41,042 [204] INFO  Umbraco.Web.UmbracoModule - [Thread 213] Setting OriginalRequestUrl: localhost:27664/umbraco
2015-04-18 02:53:46,675 [197] INFO  Umbraco.Core.UmbracoApplicationBase - [Thread 228] Application shutdown. Reason: ConfigurationChange
